,seqNum,peak,isoratio,ion,filename,scan_type
2,1,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
3,1,13C,0.05494040375364576,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
4,1,15N,0.002527499808283625,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
5,1,2H,0.0010130631556638657,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
6,1,18O,0.005868331291680321,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
34,3,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
35,3,13C,0.0553747619248505,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
36,3,15N,0.0027202839874650537,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
37,3,2H,0.0008064387587467436,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
38,3,18O,0.005359250501717953,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
58,5,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
59,5,13C,0.05510730924164266,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
60,5,15N,0.002703646414833813,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
61,5,2H,0.000980716746139658,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
62,5,18O,0.005529130895707463,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
79,7,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
80,7,13C,0.055025548440702635,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
81,7,15N,0.002697349889026516,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
82,7,2H,0.0011372603893378822,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
83,7,18O,0.005350012040384288,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
134,13,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
135,13,13C,0.055225863129137916,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
136,13,15N,0.0030035845772080467,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
137,13,2H,0.0014749530166379829,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
138,13,18O,0.0054505161275933975,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
149,15,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
150,15,13C,0.05507814124859674,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
151,15,15N,0.002873106629132573,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
152,15,2H,0.0008743940347682856,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
153,15,18O,0.0053364381908370066,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
176,17,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
177,17,13C,0.05530988295123459,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
178,17,15N,0.0023625619845324647,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
179,17,2H,0.00041320036330025193,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
180,17,18O,0.005159191638121475,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
186,19,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
187,19,13C,0.05542386656543784,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
188,19,15N,0.0028777660595217,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
189,19,2H,0.0010444058353882393,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
190,19,18O,0.0053783955399738384,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
205,21,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
206,21,13C,0.05536664178342825,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
207,21,15N,0.0027237659450416183,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
208,21,2H,0.0009726900396774235,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
209,21,18O,0.00534799970552445,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
220,23,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
221,23,13C,0.05771687424425868,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
222,23,15N,0.0014072394554838939,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
223,23,2H,0.000306698069719954,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
224,23,18O,0.005350171714487433,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
237,25,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
238,25,13C,0.05551158185795283,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
239,25,15N,0.002475120633545684,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
240,25,2H,0.0006858356146629464,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
241,25,18O,0.005305976957375969,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
